499 training documents
215 test documents
('anticholinergic', 'none', 'group')
('phenothiazine', 'none', 'group')
('sympathomimetic agents', 'group', 'none')
('phenothiazine derivatives', 'group', 'none')
('thyroid hormones', 'group', 'none')
('Insulins', 'group', 'drug')
('NPH human insulin', 'drug', 'none')
('insulin', 'none', 'drug')
('NPH human insulin', 'drug', 'none')
('crystalline', 'none', 'drug')
('zinc', 'none', 'drug')
('insulin', 'none', 'drug')
('zinc insulin', 'drug', 'none')
('insulins', 'group', 'none')
('Mixtures', 'none', 'group')
('insulins', 'group', 'none')
('aminoglycoside', 'none', 'group')
('antibiotics', 'none', 'group')
('aminoglycoside antibiotics', 'group', 'none')
('aminoglycosidic', 'none', 'group')
('antibiotics', 'none', 'group')
('aminoglycosidic antibiotics', 'group', 'none')
('antibiotics', 'none', 'group')
('beta-lactam antibiotics', 'group', 'none')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('CLINISTIX', 'none', 'brand')
('TES-TAPE', 'none', 'brand')
('psychotropic', 'none', 'group')
('monoamine oxidase inhibitors', 'group', 'none')
('psychotropic medications', 'group', 'none')
('Smokers', 'none', 'group')
('antibiotics', 'none', 'group')
('macrolide antibiotics', 'group', 'none')
('CNS depressants', 'group', 'none')
('anesthetics', 'none', 'group')
('volatile inhalation anesthetics', 'group', 'none')
('ALFENTA', 'brand', 'none')
('ALFENTA', 'brand', 'none')
('thimerosal', 'drug_n', 'drug')
('Antiacid', 'none', 'drug')
('Indanavir', 'none', 'drug')
('Phenobarbitol', 'none', 'drug')
('Ritanovir', 'none', 'drug')
('General', 'none', 'drug')
('nonsteroidal anti-inflammatory drugs', 'group', 'none')
('ACE inhibitors', 'group', 'none')
('inhibitors', 'none', 'group')
('antihypertensive', 'none', 'group')
('Angiotensin_Converting_Enzyme', 'none', 'group')
('ACE inhibitors', 'group', 'none')
('Angiotensin Converting Enzyme (ACE) inhibitors', 'group', 'none')
('anti-coagulant', 'none', 'group')
('anticoagulant', 'none', 'group')
('DIFFERIN_Gel', 'none', 'brand')
('cosmetics', 'none', 'group')
('alcohol', 'none', 'drug')
('lime', 'none', 'drug')
('DIFFERIN', 'brand', 'none')
('DIFFERIN_Gel', 'none', 'brand')
('salicylic acid', 'drug', 'none')
('DIFFERIN', 'brand', 'none')
('DIFFERIN_Gel', 'none', 'brand')
('DIFFERIN', 'brand', 'none')
('Pulmozyme', 'brand', 'none')
('nitroprusside', 'none', 'drug')
('sodium nitroprusside', 'drug', 'none')
('hypotensive drugs', 'group', 'none')
('ganglionic blocking agents', 'group', 'none')
('oxytocics', 'group', 'none')
('R', 'none', 'drug')
('warfarin', 'none', 'drug')
('R- warfarin', 'drug', 'none')
('S- warfarin', 'drug', 'none')
('CNS depressants', 'group', 'none')
('glycosides', 'none', 'group')
('cardiac glycosides', 'group', 'none')
('Tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('Tricyclic antidepressants', 'group', 'none')
('catecholamines', 'none', 'group')
('tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('amines', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('Starlix', 'brand', 'none')
('Starlix', 'brand', 'none')
('albumin', 'none', 'drug')
('acetylsalicylic acid', 'drug', 'none')
('acetylsalicylic acid', 'drug', 'none')
('antidiabetic', 'none', 'group')
('nonsteroidal anti-inflammatory agents', 'group', 'none')
('monoamine oxidase inhibitors', 'group', 'none')
('non-selective beta-adrenergic-blocking agents', 'group', 'none')
('antidiabetic drugs', 'group', 'none')
('antidiabetic', 'none', 'group')
('thyroid products', 'group', 'none')
('antidiabetic drugs', 'group', 'none')
('glutamic', 'none', 'drug')
('glutamic acid', 'drug', 'none')
('isosorbide mononitrate', 'drug', 'none')
('nitrates', 'none', 'group')
('calcium channel blockers', 'group', 'none')
('organic nitrates', 'group', 'none')
('ceftibuten', 'drug', 'none')
('antagonists', 'none', 'group')
('H 2 -receptor antagonists', 'group', 'none')
('ceftibuten', 'drug', 'none')
('ceftibuten', 'drug', 'none')
('anticoagulants', 'none', 'group')
('coumarin anticoagulant', 'group', 'none')
('anticoagulants', 'none', 'group')
('coumarin anticoagulants', 'group', 'none')
('contraceptive', 'none', 'group')
('contraceptive product', 'group', 'none')
('calcium', 'none', 'drug')
('calcium carbonate', 'drug', 'none')
('progesterone', 'drug', 'none')
('anticoagulant', 'none', 'group')
('anticoagulant', 'none', 'group')
('quinolone', 'none', 'group')
('quinolone antimicrobial', 'group', 'none')
('iron', 'drug', 'drug_n')
('aluminum', 'drug', 'none')
('ferrous sulfate', 'drug', 'none')
('multivitamin preparations', 'group', 'none')
('antineoplastic agents', 'group', 'none')
('Lymphocytopenia', 'none', 'drug')
('antiemetic', 'none', 'group')
('Hyperglycemia', 'none', 'group')
('glucose', 'none', 'drug')
('antiemetic', 'none', 'group')
('laxative', 'group', 'none')
('beta-blocking agents', 'group', 'none')
('Acting_Nitrates', 'none', 'group')
('Nitrates', 'group', 'none')
('digitalis', 'none', 'group')
('Coumarin', 'none', 'group')
('Anticoagulants', 'none', 'group')
('anticoagulants', 'none', 'group')
('Coumarin Anticoagulants', 'group', 'none')
('coumarin anticoagulants', 'group', 'none')
('Ponstel', 'brand', 'none')
('inhibitors', 'none', 'group')
('antihypertensive', 'none', 'group')
('ACE inhibitors', 'group', 'none')
('ACE inhibitors', 'group', 'none')
('ACE inhibitors', 'group', 'none')
('diuretic', 'none', 'group')
('Ponstel', 'brand', 'none')
('magnesium', 'none', 'drug')
('mefenamic', 'none', 'drug')
('mefenamic', 'none', 'drug')
('magnesium hydroxide', 'drug', 'none')
('mefenamic acid', 'drug', 'none')
('mefenamic acid', 'drug', 'none')
('mefenamic', 'none', 'drug')
('mefenamic acid', 'drug', 'none')
('Ponstel', 'brand', 'none')
('Adenocard', 'brand', 'drug')
('calcium', 'none', 'drug')
('beta-adrenergic blocking agents', 'group', 'none')
('calcium channel blocking agents', 'group', 'none')
('angiotensin converting enzyme inhibitors', 'group', 'none')
('Adenocard', 'brand', 'drug')
('Adenocard', 'brand', 'drug')
('Adenocard', 'brand', 'drug')
('psychotropic', 'none', 'group')
('psychotropic drugs', 'group', 'none')
('psychotropic', 'none', 'group')
('psychotropic drug', 'group', 'none')
('antihypertensive', 'none', 'group')
('anticholinergic', 'none', 'group')
('antihypertensive drugs', 'group', 'none')
('atropine', 'drug', 'none')
('clozapine', 'none', 'drug')
('N-oxide', 'none', 'drug')
('clozapine N-oxide', 'drug_n', 'none')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('selective serotonin reuptake inhibitors', 'group', 'none')
('antiarrhythmics', 'none', 'group')
('Type 1C antiarrhythmics', 'group', 'none')
('Ergot', 'group', 'none')
('ergotamine', 'drug', 'none')
('ergot-type medications', 'group', 'none')
('5-HT1 agonists', 'group', 'none')
('5-HT1 agonists', 'group', 'none')
('Selective serotonin reuptake inhibitors', 'group', 'none')
('AMERGE', 'brand', 'none')
('ENBREL_CI', 'none', 'brand')
('ENBREL', 'brand', 'none')
('Betaseron', 'brand', 'drug')
('ACTH', 'drug', 'group')
('Betaseron', 'brand', 'drug')
('Betaseron', 'brand', 'none')
('Betaseron', 'brand', 'none')
('uricosuric medication', 'group', 'none')
('Bismuth', 'drug', 'none')
('Bismuth subsalicylate', 'drug', 'none')
('bismuth subsalicylate', 'drug', 'none')
('Caffeine', 'drug', 'none')
('quinolone', 'none', 'group')
('quinolone class', 'group', 'none')
('Seizures', 'none', 'group')
('Non-steroidal anti-inflammatory agents', 'group', 'none')
('nonsteroidal anti-inflammatory drug', 'group', 'none')
('aluminum', 'none', 'drug')
('magnesium', 'none', 'drug')
('aluminum hydroxide', 'drug', 'none')
('magnesium hydroxide', 'drug', 'none')
('theophylline', 'none', 'drug')
('Theophylline', 'drug', 'none')
('TAO', 'drug', 'brand')
('NSCLC', 'none', 'brand')
('anticoagulants', 'none', 'group')
('coumarin-derivative anticoagulants', 'group', 'none')
('Carcinogenesis', 'none', 'group')
('Mutagenesis', 'none', 'group')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('hypoglycemic', 'none', 'group')
('nonsteroidal anti-inflammatory agents', 'group', 'none')
('monoamine oxidase inhibitors', 'group', 'none')
('beta adrenergic blocking agents', 'group', 'none')
('phe-nothiazines', 'none', 'group')
('sympathomimet-ics', 'none', 'group')
('calcium', 'none', 'drug')
('thyroid products', 'group', 'none')
('nicotinic acid', 'drug', 'none')
('calcium channel blocking drugs', 'group', 'none')
('fluoroquinolone', 'none', 'drug')
('antibiotic', 'none', 'group')
('hypoglycemic', 'none', 'group')
('fluoroquinolone antibiotic', 'group', 'none')
('hypoglycemic', 'none', 'group')
('hypoglycemic agents', 'group', 'none')
('NIDDM', 'none', 'brand')
('gly-buride', 'none', 'drug')
('CNS-depressant drug', 'group', 'none')
('beta-blockers', 'none', 'group')
('porpranolol', 'none', 'drug')
('Noncardioselective beta-blockers', 'group', 'none')
('beta-blocker', 'none', 'group')
('cardioselective beta-blocker', 'group', 'none')
('anticoagulation', 'none', 'group')
('glycosides', 'none', 'group')
('vasodilators', 'none', 'group')
('cardiac glycosides', 'group', 'none')
('coronary vasodilators', 'group', 'none')
('antigout drugs', 'group', 'none')
('beta blockers', 'group', 'none')
('thiazide', 'none', 'group')
('diuretics', 'none', 'group')
('thiazide diuretics', 'group', 'none')
('Antidiabetic', 'none', 'group')
('antidiabetic', 'none', 'group')
('Antidiabetic drugs', 'group', 'none')
('antidiabetic drug', 'group', 'none')
('antihypertensive', 'none', 'group')
('antihypertensive drugs', 'group', 'none')
('anionic exchange resins', 'group', 'none')
('resins', 'group', 'none')
('ACTH', 'drug', 'group')
('amines', 'none', 'group')
('Skeletal muscle relaxants', 'group', 'none')
('muscle relaxant', 'group', 'none')
('Diuretic', 'none', 'group')
('Diuretic agents', 'group', 'none')
('Anti-inflammatory_Drugs', 'none', 'group')
('diuretic', 'none', 'group')
('natriuretic', 'none', 'group')
('loop', 'none', 'group')
('diuretics', 'none', 'group')
('Non-steroidal Anti-inflammatory Drugs', 'group', 'none')
('non-steroidal anti-inflammatory agent', 'group', 'none')
('loop diuretics', 'group', 'none')
('potassium-sparing diuretics', 'group', 'none')
('thiazide diuretics', 'group', 'none')
('non-steroidal anti-inflammatory agents', 'group', 'none')
('Ketoconazole_Fexofenadine', 'none', 'drug')
('Ketoconazole', 'drug', 'none')
('Fexofenadine', 'drug', 'none')
('fexofenadine', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('fexofenadine hydrochloride', 'drug', 'none')
('fexofenadine', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('fexofenadine hydrochloride', 'drug', 'none')
('fexofenadine', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('fexofenadine hydrochloride', 'drug', 'none')
('fexofenadine', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('fexofenadine hydrochloride', 'drug', 'none')
('p-glycoprotein', 'none', 'drug')
('fexofenadine', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('Antacids', 'group', 'none')
('fexofenadine hydrochloride', 'drug', 'none')
('histamine', 'drug', 'none')
('fexofenadine', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('fexofenadine hydrochloride', 'drug', 'none')
('cholinesterase inhibitors', 'group', 'none')
('anticholinergic', 'none', 'group')
('narcotic', 'none', 'group')
('analgesics', 'none', 'group')
('antidepressants', 'none', 'group')
('narcotic analgesics', 'group', 'none')
('tricyclic antidepressants', 'group', 'none')
('narcotic', 'none', 'group')
('analgesics', 'none', 'group')
('narcotic analgesics', 'group', 'none')
('antianxiety agents', 'group', 'none')
('CNS depressants', 'group', 'none')
('antidepressants', 'none', 'group')
('MAO inhibitors', 'group', 'none')
('tricyclic antidepressants', 'group', 'none')
('central nervous system depressants', 'group', 'none')
('antacid', 'none', 'group')
('aluminum hydroxide', 'drug', 'none')
('antacid products', 'group', 'none')
('aluminum', 'none', 'drug')
('aluminum hydroxide', 'drug', 'none')
('Coly-Mycin M', 'brand', 'none')
('Curariform muscle relaxants', 'brand', 'none')
('sodium citrate', 'drug', 'none')
('Coly-Mycin M', 'brand', 'none')
('cephalothin', 'none', 'drug')
('Sodium cephalothin', 'drug', 'none')
('Coly-Mycin M', 'brand', 'none')
('cephalothin', 'none', 'drug')
('sodium cephalothin', 'drug', 'none')
('Coly-Mycin M', 'brand', 'none')
('proton pump inhibitors', 'group', 'none')
('proton pump inhibitors', 'group', 'none')
('irbesartan', 'none', 'drug')
('neutropenia', 'none', 'drug')
('interleukin-1 antagonist', 'group', 'none')
('TNF-blocking agent', 'group', 'none')
('TNF-blocking agents', 'group', 'none')
('Metal_Cations', 'none', 'group')
('Multivitamins_Quinolones', 'none', 'group')
('Multivitamins', 'group', 'none')
('Quinolones', 'group', 'none')
('Theobromine_Grepafloxacin', 'none', 'drug')
('Theobromine', 'drug', 'none')
('Grepafloxacin', 'drug', 'none')
('stimulants', 'none', 'group')
('quinolone', 'none', 'group')
('quinolone antimicrobial', 'group', 'none')
('Nonsteroidal Anti-inflammatory Drugs', 'group', 'none')
('nonsteroidal anti inflammatory drug', 'group', 'none')
('Antidiabetic', 'none', 'group')
('Agents', 'none', 'group')
('glucose', 'none', 'drug')
('Antidiabetic Agents', 'group', 'none')
('antidiabetic agent', 'group', 'none')
('glucose', 'none', 'drug')
('proton pump inhibitors', 'group', 'none')
('fosinopril', 'none', 'drug')
('fosinopril sodium', 'drug', 'none')
('fosinopril', 'none', 'drug')
('fosinopril sodium', 'drug', 'none')
('DOSAGE_AND_ADMINISTRATION', 'none', 'brand')
('Fosinopril', 'none', 'drug')
('thiazide', 'none', 'drug')
('diuretics', 'none', 'group')
('Fosinopril sodium', 'drug', 'none')
('thiazide diuretics', 'group', 'none')
('diuretics', 'none', 'group')
('Potassium-sparing diuretics', 'group', 'none')
('potassium', 'none', 'drug')
('ACE inhibitors', 'group', 'none')
('lithium', 'none', 'drug')
('aluminum', 'none', 'drug')
('hydroxide', 'none', 'drug')
('magnesium', 'none', 'drug')
('hydroxide', 'none', 'drug')
('fosinoprilat', 'drug_n', 'drug')
('aluminum hydroxide', 'drug', 'none')
('magnesium hydroxide', 'drug', 'none')
('fosinopril', 'none', 'drug')
('fosinopril sodium', 'drug', 'none')
('fosinoprilat', 'drug_n', 'drug')
('fosinopril', 'none', 'drug')
('fosinoprilat', 'drug_n', 'drug')
('fosinopril sodium', 'drug', 'none')
('anticoagulant', 'none', 'group')
('Digi', 'none', 'group')
('RIA_Kit_for_Digoxin', 'none', 'drug')
('Fosinopril', 'drug', 'none')
('Digoxin', 'drug', 'none')
('CNS depressants', 'group', 'none')
('CNS depressant drugs', 'group', 'none')
('Monoamine oxidase (MAO) inhibitors', 'group', 'none')
('b-blocking drug', 'group', 'none')
('digitalis', 'none', 'group')
('glyceryl', 'none', 'drug')
('trinitrate', 'none', 'drug')
('dinitrate', 'none', 'drug')
('chloride', 'none', 'drug')
('digitalis preparations', 'group', 'none')
('glyceryl trinitrate', 'drug', 'none')
('isosorbide dinitrate', 'drug', 'none')
('potassium chloride', 'drug', 'none')
('folic acid', 'drug', 'none')
('magnesium', 'none', 'drug')
('aluminum hydroxide', 'drug', 'none')
('magnesium hydroxide', 'drug', 'none')
('5-DFCR', 'drug_n', 'none')
('FBAL', 'drug_n', 'brand')
('5-FU', 'drug_n', 'none')
('Coumarin', 'none', 'group')
('anticoagulants', 'none', 'group')
('Coumarin Anticoagulants', 'group', 'none')
('coumarin-derivative anticoagulants', 'group', 'none')
('anticoagulants', 'none', 'group')
('coumarin-derivative anticoagulants', 'group', 'none')
('dehydration', 'none', 'drug_n')
('anticholinesterase', 'none', 'group')
('anticholinesterase agents', 'group', 'none')
('anesthetic', 'none', 'group')
('tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('anesthetic solutions', 'group', 'none')
('monoamine oxidase inhibitors', 'group', 'none')
('tricyclic antidepressants', 'group', 'none')
('vasopressor', 'none', 'group')
('vasopressor drugs', 'group', 'none')
('ergot-type oxytocic drugs', 'group', 'none')
('Nucleoside', 'none', 'drug')
('Didanosine', 'drug', 'none')
('COPEGUS', 'brand', 'none')
('Zidovudine_Ribavirin', 'none', 'drug')
('Zidovudine', 'drug', 'none')
('Ribavirin', 'drug', 'none')
('Carcinogenesis', 'none', 'group')
('Mutagenesis', 'none', 'group')
('PEGASYS', 'brand', 'none')
('With_Ribavirin_Ribavirin', 'none', 'drug')
('Ribavirin', 'drug', 'none')
('Ribavirin', 'drug', 'none')
('PEGASYS', 'brand', 'none')
('estradiol', 'none', 'drug')
('progesterone', 'none', 'drug')
('pegylated interferon alfa-2a', 'drug', 'none')
('C_PEGASYS', 'none', 'brand')
('PEGASYS', 'brand', 'none')
('Non-pegylated interferon alfa-2a', 'drug', 'none')
('With_Ribavirin', 'none', 'drug')
('Ribavirin', 'drug', 'none')
('COPEGUS', 'brand', 'none')
('alone', 'none', 'drug')
('alcohol', 'none', 'drug')
('benzyl alcohol', 'drug_n', 'none')
('alcohol', 'none', 'drug')
('Benzyl alcohol', 'drug_n', 'none')
('alpha interferon', 'drug', 'none')
('anesthetic', 'none', 'group')
('anesthetic agents', 'group', 'none')
('antidiabetic', 'none', 'group')
('antidiabetic agents', 'group', 'none')
('antidiabetic medication', 'group', 'none')
('anesthetic', 'none', 'group')
('tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('anesthetic solutions', 'group', 'none')
('monoamine oxidase inhibitors', 'group', 'none')
('tricyclic antidepressants', 'group', 'none')
('vasopressor drugs', 'group', 'none')
('ergot-type oxytocic drugs', 'group', 'none')
('interferon beta-1a', 'drug', 'none')
('TYSABRI', 'brand', 'none')
('TYSABRI', 'brand', 'group')
('TYSABRI', 'brand', 'group')
('glatiramer', 'none', 'drug')
('acetate', 'none', 'drug_n')
('interferon beta-1a', 'drug', 'none')
('glatiramer acetate', 'drug', 'none')
('beta-interferon', 'drug', 'none')
('glatiramer acetate', 'drug', 'none')
('coagulant', 'none', 'group')
('VII-X', 'none', 'brand')
('antithrombin III', 'drug', 'none')
('antithrombin III', 'drug', 'none')
('globulin', 'none', 'drug')
('thyroid hormone', 'group', 'none')
('corticosteroid', 'none', 'group')
('CBG', 'none', 'brand')
('SHBG', 'none', 'brand')
('steroids', 'none', 'group')
('sex steroids', 'group', 'none')
('angiotensinogen', 'none', 'group')
('alpha-1-antitrypsin', 'none', 'drug')
('cholesterol', 'none', 'drug')
('triglyceride', 'none', 'drug')
('glucose', 'none', 'drug')
('metyrapone', 'none', 'drug')
('non-depolarizing muscle relaxants', 'group', 'none')
('Piperacillin', 'none', 'drug')
('Piperacillin sodium', 'drug', 'none')
('penicillins', 'drug', 'group')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('diagnostic', 'none', 'group')
('anticholinergic', 'none', 'group')
('anticholinergic compounds', 'group', 'none')
('belladonna alkaloids', 'group', 'none')
('Receptor_Antagonists', 'none', 'group')
('H2 Receptor Antagonists', 'group', 'none')
('Inhibitors', 'none', 'group')
('Protease Inhibitors', 'group', 'none')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('tetracyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('tetracyclic antidepressants', 'group', 'none')
('antipsychotic', 'none', 'group')
('antipsychotic medications', 'group', 'none')
('antihypertensive', 'none', 'group')
('antihypertensive drugs', 'group', 'none')
('ganglionic peripheral adrenergic blocking drugs', 'group', 'none')
('hypoglycemic', 'none', 'group')
('hypoglycemic agents', 'group', 'none')
('D2-antagonists', 'none', 'group')
('Plasma_Protein_Carbamazepine', 'none', 'drug')
('Carbamazepine', 'drug', 'none')
('Epoxide_Hydrolase_Carbamazepine', 'none', 'drug')
('carbamazepine', 'none', 'drug')
('epoxide', 'none', 'drug')
('Carbamazepine', 'drug', 'none')
('carbamazepine 10,11-epoxide', 'drug', 'none')
('epoxide', 'none', 'drug')
('antifungals', 'none', 'group')
('azole antifungals', 'group', 'none')
('protease inhibitors', 'group', 'none')
('epoxide', 'none', 'drug')
('Isoenzymes_Carbamazepine', 'none', 'drug')
('Carbamazepine', 'drug', 'none')
('doxorubicin', 'none', 'drug')
('doxorubicin HCL', 'drug', 'none')
('Presence_of_Carbamazepine', 'none', 'drug')
('Enzymes_Carbamazepine', 'none', 'drug')
('Carbamazepine', 'drug', 'none')
('Carbamazepine', 'drug', 'none')
('protease inhibitors', 'group', 'none')
('Presence_of_Carbamazepine', 'none', 'drug')
('Clomipramine', 'none', 'drug')
('Carbamazepine', 'drug', 'none')
('Clomipramine HCl', 'drug', 'none')
('Carbamazepine_Concomitant', 'none', 'drug')
('Carbamazepine', 'drug', 'none')
('anticonvulsant', 'none', 'group')
('anti-malarial drugs', 'group', 'none')
('centrally acting drugs', 'group', 'none')
('N-diethyl-m-toluamide', 'drug', 'drug_n')
('Panretin', 'brand', 'none')
('DEET', 'drug', 'none')
('DEET', 'drug', 'brand')
('DEET', 'drug', 'none')
('antiretroviral', 'none', 'group')
('antibiotics', 'none', 'group')
('azole', 'none', 'drug')
('antifungals', 'none', 'group')
('antiretroviral agents', 'group', 'none')
('protease inhibitors', 'group', 'none')
('macrolide antibiotics', 'group', 'none')
('azole antifungals', 'group', 'none')
('a-blockers', 'none', 'group')
('blockers', 'none', 'group')
('blockers', 'none', 'group')
('HMG-CoA', 'none', 'group')
('quinolone', 'none', 'group')
('anti-infectives', 'none', 'group')
('acetylsalicylic acid', 'drug', 'none')
('angiotensin-converting enzyme (ACE) inhibitors', 'group', 'none')
('beta blockers', 'group', 'none')
('calcium-channel blockers', 'group', 'none')
('H2 antagonists', 'group', 'none')
('HMG-CoA reductase inhibitors', 'group', 'none')
('prostaglandin synthetase inhibitors', 'group', 'none')
('quinolone anti-infectives', 'group', 'none')
('cortisol', 'none', 'drug')
('thyroxine', 'none', 'drug')
('cholesterol', 'none', 'drug')
('triglycerides', 'none', 'group')
('Finasteride', 'drug', 'none')
('FSH', 'none', 'group')
('LH', 'none', 'drug_n')
('BPH', 'none', 'group')
('ergotamine', 'drug', 'none')
('ergot-type medications', 'group', 'none')
('Selective serotonin reuptake inhibitors', 'group', 'none')
('5-HT1 agonists', 'group', 'none')
('FROVA', 'brand', 'none')
('Meclofenamate', 'none', 'drug')
('Meclofenamate sodium', 'drug', 'none')
('meclofenamate', 'none', 'drug')
('meclofenamate sodium', 'drug', 'none')
('meclofenamate', 'none', 'drug')
('meclofenamate sodium', 'drug', 'none')
('meclofenamate', 'none', 'drug')
('meclofenamate', 'none', 'drug')
('meclofenamate sodium', 'drug', 'none')
('meclofenamate sodium', 'drug', 'none')
('Meclofenamate', 'none', 'drug')
('Meclofenamate sodium', 'drug', 'none')
('propoxyphene', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('meclofenamate', 'none', 'drug')
('propoxyphene hydrochloride', 'drug', 'none')
('meclofenamate sodium', 'drug', 'none')
('aluminum', 'none', 'drug')
('magnesium', 'none', 'drug')
('hydroxides', 'none', 'drug_n')
('meclofenamate', 'none', 'drug')
('aluminum hydroxide', 'drug', 'none')
('magnesium hydroxide', 'drug', 'none')
('meclofenamate sodium', 'drug', 'none')
('CYP3A4', 'none', 'drug')
('uridine', 'none', 'drug')
('UDPGT', 'none', 'brand')
('HIV protease inhibitors', 'group', 'none')
('andCmin', 'none', 'drug')
('Tests', 'none', 'group')
('cholesterol', 'none', 'drug')
('triglycerides', 'none', 'group')
('anti-neoplastic agents', 'group', 'none')
('irinotecan/5-FU/leucovorin', 'none', 'drug')
('irinotecan', 'drug', 'none')
('5-FU', 'drug', 'none')
('leucovorin', 'drug', 'none')
('SN38', 'drug_n', 'none')
('SN38', 'drug_n', 'none')
('vitamin', 'group', 'none')
('anticonvulsant', 'none', 'group')
('Methotrexate_There', 'none', 'drug')
('anticonvulsant medications', 'group', 'none')
('Methotrexate', 'drug', 'none')
('vitamin B12', 'drug', 'none')
('folic acid', 'drug', 'none')
('Folic acid', 'drug', 'none')
('folic acid', 'drug', 'none')
('folic acid', 'drug', 'none')
('folic acid', 'drug', 'none')
('folic acid', 'drug', 'none')
('vitamin B12', 'drug', 'none')
('folic acid', 'drug', 'none')
('Nimotop', 'brand', 'drug')
('calcium channel blockers', 'group', 'none')
('Europe', 'none', 'drug')
('Nimotop', 'brand', 'drug')
('antihypertensive', 'none', 'group')
('antihypertensive compounds', 'group', 'none')
('phenomenon', 'none', 'drug')
('calcium channel blockers', 'group', 'none')
('Desmopressin', 'drug', 'none')
('estrogen', 'group', 'none')
('sulfobromophthalein', 'none', 'drug')
('antithrombin 3', 'drug', 'none')
('glucose', 'none', 'drug')
('metyrapone', 'none', 'drug')
('triglyceride', 'none', 'drug')
('phospholipid', 'none', 'drug')
('SUSTIVA', 'brand', 'none')
('SUSTIVA', 'brand', 'none')
('Anti-Migraine', 'group', 'none')
('Antifungal', 'group', 'none')
('antibiotics', 'none', 'group')
('macrolide antibiotics', 'group', 'none')
('Ethinyl', 'none', 'drug')
('estradiol', 'none', 'drug')
('Ethinyl estradiol', 'drug', 'none')
('ethinyl', 'none', 'drug')
('estradiol', 'none', 'drug')
('ethinyl estradiol', 'drug', 'none')
